fincen_id,title,date,pdf_filename,pdf_url,publication_type
FIN-2012-A002,FinCEN Advisory – FIN-2012-A002,03/02/2012,FIN-2012-A002.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A002.pdf,advisory
FIN-2012-A001,FinCEN Advisory – FIN-2012-A001,02/15/2012,FIN-2012-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2012-A001.pdf,advisory
FIN-2011-A016,FinCEN Advisory – FIN-2011-A016,12/19/2011,FIN-2011-A016.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A016.pdf,advisory
FIN-2011-A014,FinCEN Advisory – FIN-2011-A014,11/15/2011,FIN-2011-A014.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A014.pdf,advisory
FIN-2011-A015,FinCEN Advisory – FIN-2011-A015,11/15/2011,FIN-2011-A015.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A015.pdf,advisory
FIN-2011-A013,FinCEN Advisory – FIN-2011-A013,08/10/2011,FIN-2011-A013.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A013.pdf,advisory
FIN-2011-A012,FinCEN Advisory - FIN-2011-A012,07/13/2011,FIN-2011-A012.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A012.pdf,advisory
FIN-2011-A011,FinCEN Advisory – FIN-2011-A011,07/12/2011,FIN-2011-A011.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A011.pdf,advisory
FIN-2011-A010,FinCEN Advisory – FIN-2011-A010,07/08/2011,FIN-2011-A010.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A010.pdf,advisory
FIN-2011-A009,FinCEN Advisory – FIN-2011-A009,04/21/2011,FIN-2011-A009.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A009.pdf,advisory
FIN-2011-A008,FinCEN Advisory – FIN-2011-A008,04/15/2011,FIN-2011-A008.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A008.pdf,advisory
FIN-2011-A007,FinCEN Advisory – FIN-2011-A007,03/30/2011,FIN-2011-A007.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A007.pdf,advisory
FIN-2011-A006,FinCEN Advisory - FIN-2011-A006,03/21/2011,FIN-2011-A006.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A006.pdf,advisory
FIN-2011-A005,FinCEN Advisory – FIN-2011-A005,03/20/2011,FIN-2011-A005.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A005.pdf,advisory
FIN-2011-A004,FinCEN Advisory – FIN-2011-A004,02/24/2011,FIN-2011-A004.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A004.pdf,advisory
FIN-2011-A003,FinCEN Advisory - FIN-2011-A003,02/22/2011,fin-2011-a003.pdf,https://www.fincen.gov/system/files/advisory/fin-2011-a003.pdf,advisory
FIN-2011-A002,FinCEN Advisory - FIN-2011-A002,02/16/2011,fin-2011-a002.pdf,https://www.fincen.gov/system/files/advisory/fin-2011-a002.pdf,advisory
FIN-2011-A001,FinCEN Advisory – FIN-2011-A001,01/20/2011,FIN-2011-A001.pdf,https://www.fincen.gov/system/files/advisory/FIN-2011-A001.pdf,advisory
FIN-2010-A014,FinCEN Advisory – FIN-2010-A014,11/23/2010,FIN-2010-A014.pdf,https://www.fincen.gov/system/files/advisory/FIN-2010-A014.pdf,advisory
FIN-2010-A013,FinCEN Advisory – FIN-2010-A013,11/20/2010,FIN-2010-A013.pdf,https://www.fincen.gov/system/files/advisory/FIN-2010-A013.pdf,advisory
FIN-2010-A012,FinCEN Advisory - FIN-2010-A012,11/20/2010,FIN-2010-A012.pdf,https://www.fincen.gov/system/files/advisory/FIN-2010-A012.pdf,advisory
FIN-2010-A011,FinCEN Advisory – FIN-2010-A011,09/01/2010,FIN-2010-A11-updated_508.pdf,https://www.fincen.gov/system/files/advisory/2022-07-05/FIN-2010-A11-updated_508.pdf,advisory
FIN-2010-A010,FinCEN Advisory – FIN-2010-A010,07/17/2010,FIN-2010-A010.pdf,https://www.fincen.gov/system/files/advisory/FIN-2010-A010.pdf,advisory
FIN-2010-A009,FinCEN Advisory – FIN-2010-A009,07/16/2010,FIN-2010-A009.pdf,https://www.fincen.gov/system/files/advisory/FIN-2010-A009.pdf,advisory
FIN-2010-A009,FinCEN Advisory – FIN-2010-A009,07/16/2010,FIN-2010-A009.pdf,https://www.fincen.gov/system/files/advisory/2016-07-13/FIN-2010-A009.pdf,advisory
FIN-2010-A010,FinCEN Advisory – FIN-2010-A010,07/16/2010,FIN-2010-A010.pdf,https://www.fincen.gov/system/files/advisory/2016-07-13/FIN-2010-A010.pdf,advisory
FIN-2010-A008,FinCEN Advisory - FIN-2010-A008,06/22/2010,fin-2010-a008.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a008.pdf,advisory
FIN-2010-A007,FinCEN Advisory – FIN-2010-A007,06/21/2010,fin-2010-a007.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a007.pdf,advisory
FIN-2010-A006,FinCEN Advisory – FIN-2010-A006,06/17/2010,fin-2010-a006.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a006.pdf,advisory
FIN-2010-A005,FinCEN Advisory - FIN-2010-A005,04/27/2010,fin-2010-a005.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a005.pdf,advisory
FIN-2010-A004,FinCEN Advisory – FIN-2010-A004,03/29/2010,fin-2010-a004.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a004.pdf,advisory
FIN-2010-A003,FinCEN Advisory - FIN-2010-A003,03/18/2010,fin-2010-a003.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a003.pdf,advisory
FIN-2010-A002,FinCEN Advisory - FIN-2010-A002,03/18/2010,fin-2010-a002.pdf,https://www.fincen.gov/system/files/advisory/2016-07-13/fin-2010-a002.pdf,advisory
FIN-2010-A001,FinCEN Advisory – FIN-2010-A001,02/18/2010,fin-2010-a001.pdf,https://www.fincen.gov/system/files/advisory/fin-2010-a001.pdf,advisory
FIN-2009-A007,FinCEN Advisory – FIN-2009-A007,10/29/2009,fin-2009-a007.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a007.pdf,advisory
FIN-2009-A006,FinCEN Advisory – FIN-2009-A006,10/14/2009,fin-2009-a006.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a006.pdf,advisory
FIN-2009-A005,FinCEN Advisory – FIN-2009-A005,07/23/2009,fin-2009-a005.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a005.pdf,advisory
FIN-2009-A004,FinCEN Advisory – FIN-2009-A004,07/10/2009,fin-2009-a004.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a004.pdf,advisory
FIN-2009-A003,FinCEN Advisory – FIN-2009-A003,07/01/2009,fin-2009-a003.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a003.pdf,advisory
FIN-2009-A002,FinCEN Advisory – FIN-2009-A002,06/18/2009,fin-2009-a002.pdf,https://www.fincen.gov/system/files/advisory/fin-2009-a002.pdf,advisory
