article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 98.4000015258789, 515.219970703125, 168.00009155273438]","[0.30470587537179583, 0.12424242616903902, 0.8418626972273284, 0.21212132771809897]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 182.40011596679688, 527.5798950195312, 324.000244140625]","[0.30470587537179583, 0.23030317672575362, 0.8620586519926982, 0.409091217349274]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 338.4002380371094, 527.9039916992188, 480.00018310546875]","[0.30470587537179583, 0.42727302782463306, 0.8625882217307496, 0.6060608372543798]",612.0,792.0
advis16.pdf,,Advisory,FinCEN Advisory - Issue 16,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.47999572753906, 270.0002136230469, 531.2158813476562, 325.2001953125]","[0.30470587537179583, 0.3409093606351602, 0.8679998061236214, 0.41060630721275254]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[61.91999816894531, 206.39999389648438, 521.9283447265625, 304.8000793457031]","[0.10117646759631586, 0.2606060528996015, 0.8528240926904616, 0.38484858503245345]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[87.36000061035156, 374.4000549316406, 508.716064453125, 415.2000427246094]","[0.14274509903652216, 0.47272734208540484, 0.8312353994332108, 0.5242424781876381]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,Money laundering,1,"[213.47999572753906, 429.6000061035156, 466.46392822265625, 441.6000061035156]","[0.34882352243061937, 0.5424242501307015, 0.7621959611481312, 0.5575757652822168]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,1,"[177.47999572753906, 556.800048828125, 535.5364990234375, 626.4000244140625]","[0.28999999301885465, 0.703030364681976, 0.8750596389271854, 0.7909091217349274]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.47999572753906, 556.800048828125, 535.5364990234375, 626.4000244140625]","[0.28999999301885465, 0.703030364681976, 0.8750596389271854, 0.7909091217349274]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.47999572753906, 556.800048828125, 535.5364990234375, 626.4000244140625]","[0.28999999301885465, 0.703030364681976, 0.8750596389271854, 0.7909091217349274]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.47999572753906, 640.800048828125, 520.4163208007812, 696.0]","[0.28999999301885465, 0.8090909707425821, 0.8503534653607536, 0.8787878787878788]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.47999572753906, 640.800048828125, 520.4163208007812, 696.0]","[0.28999999301885465, 0.8090909707425821, 0.8503534653607536, 0.8787878787878788]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[191.27999877929688, 170.16006469726562, 532.40380859375, 426.84014892578125]","[0.3125490176132302, 0.21484856653695156, 0.8699408637152778, 0.5389395819769965]",612.0,792.0
advis17.pdf,,Advisory,FinCEN Advisory - Issue 17,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[186.48001098632812, 101.7599868774414, 525.5637817382812, 156.96005249023438]","[0.3047059003044577, 0.12848483191596138, 0.8587643492455576, 0.19818188445736665]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[87.36000061035156, 376.67999267578125, 526.1160278320312, 541.4400634765625]","[0.14274509903652216, 0.47560605135830963, 0.8596667121438419, 0.6836364437835385]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[222.47999572753906, 99.48001861572266, 512.9756469726562, 125.88004302978516]","[0.36352940478356055, 0.12560608411076093, 0.8381955015893076, 0.15893944826993076]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,corruption_bribery,corruption,2,"[222.47999572753906, 99.48001861572266, 512.9756469726562, 125.88004302978516]","[0.36352940478356055, 0.12560608411076093, 0.8381955015893076, 0.15893944826993076]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 200.28005981445312, 516.98388671875, 226.80007934570312]","[0.30470587537179583, 0.25287886340208726, 0.844744912939134, 0.28636373654760494]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,Money laundering,2,"[204.47999572753906, 376.44000244140625, 493.6560363769531, 417.239990234375]","[0.3341176400776782, 0.47530303338561397, 0.806627510419858, 0.5268181694878472]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,corruption_bribery,corruption,2,"[204.47999572753906, 376.44000244140625, 493.6560363769531, 417.239990234375]","[0.3341176400776782, 0.47530303338561397, 0.806627510419858, 0.5268181694878472]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,Money Laundering,2,"[186.47999572753906, 434.03997802734375, 515.219970703125, 503.63995361328125]","[0.30470587537179583, 0.5480302752870502, 0.8418626972273284, 0.6359090323400016]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 434.03997802734375, 515.219970703125, 503.63995361328125]","[0.30470587537179583, 0.5480302752870502, 0.8418626972273284, 0.6359090323400016]",612.0,792.0
